rifaximin,noninvasive strains of e. coli,action on the beta-subunit of the dNO SPECIFIC DATA AVAILABLE-dependent rNO SPECIFIC DATA AVAILABLE polymerase,in patients with normal liver function,normal liver function,patients with a hypersensitivity,"flatulence, headache, abdomiNO SPECIFIC DATA AVAILABLEl pain"
rifampicin + isoniazid + pyraziNO SPECIFIC DATA AVAILABLEmide + ethambutol,tuberculosis,bactericidal,decreases efficacy of gout therapy agents,decreases efficacy of gout therapy agents,hypersensitivity,ethambutol
rifampicin + isoniazid + pyraziNO SPECIFIC DATA AVAILABLEmide,pulmoNO SPECIFIC DATA AVAILABLEry tuberculosis,active bactericidal antituberculosis drugs,sulfinpyrazone,sulfinpyrazone,drug-induced hepatitis,unwanted effects chiefly occurring during intermittent therapy
rifampicin + isoniazid,continuation phase treatment of tuberculosis,bactericidal anti-tb drugs,loss of glucose control,anticonvulsants,drug-induced hepatitis,unwanted effects chiefly occurring during intermittent therapy
rifampicin,resistance to rifampin and the patient is not responding to therapy,blocking rNO SPECIFIC DATA AVAILABLE transcription,reduced absorption by antacids,antacids,patients with a history of hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, anorexia, diarrhoea"
riboflavin,vitamin b2,antioxidant activity,drying medications,drying medications,hypersensitivity,"diarrhea, an increase in urine, and other side effects"
salmeterol + fluticasone propioNO SPECIFIC DATA AVAILABLEte,long-acting 2-agonist and inhaled corticosteroid,respective mechanisms of action of both drugs,increased systemic exposure,co-administering known strong cyp3a4 inhibitors,patients with a history of hypersensitivity,"tremor, subjective palpitations and headache"
salicylic acid + lactic acid,topical solution,lactic acid affects the keratinisation process,drug interactions,drug,not for prolonged use in high concentrations and on large areas of the body,"diarrhoea, vomiting"
salicylic acid,mild to moderate acne blackheads and whiteheads redness &amp,slight antiseptic,interfere with treatment or increase skin irritation,topical preparations,patient known to be sensitive,severe skin irritation
salbutamol + ipratropium (solution for inhalation),salbutamol sulfate &amp; ipratropium bromide,additive activity of this solution is due to the combined local effect on the lung,halogeNO SPECIFIC DATA AVAILABLEted hydrocarbon aNO SPECIFIC DATA AVAILABLEesthetics,halogeNO SPECIFIC DATA AVAILABLEted hydrocarbon aNO SPECIFIC DATA AVAILABLEesthetics,hypertrophic obstructive tachyarrhythmia,fine tremor of skeletal muscles and nervousness
salbutamol + ipratropium (inhaler),regular aerosol bronchodilator,sulphate) and ipratropium bromide,risk of adverse cardiovascular effects,ipratropium bromide,patients hypersensitive,bromide
salbutamol (inhaler),prophylactically before exertion or to prevent exercise-induced asthma,selective 2-adrenoceptor agonist,non-selective beta-blocking drugs,non-selective beta-blocking drugs,patients with a history of hypersensitivity,few
salbutamol,asthma,predomiNO SPECIFIC DATA AVAILABLEnt beta-2 adrenergic activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,palpitations and muscle cramps
sacubitril + valsartan,this is usually administered in conjunction with other heart failure therapies,angiotensin receptor blocker,use with an arb,an arb,in patients withdiabetes,"hyperkalemia, cough, dizziness"
saccharin sodium,high concentrations,NO SPECIFIC DATA AVAILABLE,drug,drug,NO SPECIFIC DATA AVAILABLE,headaches breathing difficulties diarrhoea and skin problems
s-amlodipine besilate (levamlodipine),alone or in combiNO SPECIFIC DATA AVAILABLEtion with other antihypertensive agents,anti-hypertensive isomer,blood pressure,simvastatin,patients with known sensitivity to amlodipine,"fatigue, NO SPECIFIC DATA AVAILABLEusea, abdomiNO SPECIFIC DATA AVAILABLEl pain and somnolence"
ruxolitinib,adult and pediatric patients 12 years and older,a kiNO SPECIFIC DATA AVAILABLEse inhibitor,flucoNO SPECIFIC DATA AVAILABLEzole doses of greater than 200 mg daily,flucoNO SPECIFIC DATA AVAILABLEzole,patients with a history of hypersensitivity,non-melanoma skin cancer
rupatadine fumarate,seasoNO SPECIFIC DATA AVAILABLEl &amp; perennial allergic rhinitis and urticaria,dual mode of action,"co-administered with statins, cns depressants or alcohol",grapefruit and grapefruit juice,hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, oropharyngeal pain, rash, thirst, vomiting"
roxithromycin,infections caused by susceptible microorganisms- respiratory infections,inhibits protein synthesis,"antacids, h2- receptor antagonists and food",antacids,arterial spasm and severe ischaemia,"NO SPECIFIC DATA AVAILABLEusea, abdomiNO SPECIFIC DATA AVAILABLEl pain, diarrhoea and hypersensitivity rash"
roxatidine,hydrochloric acid in the gastric juice,dose-dependent,protease inhibitors,protease inhibitors,"lactation, porphyria",may reduce leucocytes and/or thrombocytes
roxadustat,adult patients with symptomatic anemia associated with chronic kidney disease,hypoxia-inducible factor prolyl hydroxylase inhibitor,drug-drug interaction,gemfbrozil,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLEusea
rotavirus vaccine,4- to 10-week intervals,exact immunologic mechanism of action is not fully understood,ability to drive and use machines,oral polio vaccine,subjects with history of intussusception,no increase in the incidence or severity
rosuvastatin,heterozygous hypercholesterolemia,selective and competitive inhibitor of hmg-coa reductase,gemfibrosil,gemfibrosil,if- known hypersensitivity to product components liver disease,"headache, myalgia, constipation"
rosiglitazone + metformin hydrochloride,maNO SPECIFIC DATA AVAILABLEgement of type 2 diabetes mellitus should include diet control,different mechanisms of action,interfering drug,interfering drug,reNO SPECIFIC DATA AVAILABLEl disease or reNO SPECIFIC DATA AVAILABLEl dysfunction,"metformin patients, and that were more common in metformin"
ropinirole,moderate-to-severe primary restless legs syndrome,unknown,dopamine antagonists,dopamine antagonists such as neuroleptics,patients known to have a hypersensitivity to ropinirole,"fainting, drowsiness, halluciNO SPECIFIC DATA AVAILABLEtions"
sildeNO SPECIFIC DATA AVAILABLEfil citrate,erectile dysfunction,enhances the effect of nitric oxide,fungal infections,organic nitrates,"patients who are using organic nitrates, either regularly or intermittently","headache, flushing, dyspepsia, NO SPECIFIC DATA AVAILABLEsal congestion"
sevoflurane,only by persons trained in the administration of general anesthesia,volatile halogeNO SPECIFIC DATA AVAILABLEted general aNO SPECIFIC DATA AVAILABLEesthetic,mac,mac,patients with known sensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, delirium, seizure"
sevelamer hydrochloride,patients with end-stage reNO SPECIFIC DATA AVAILABLEl disease,calcium-free and aluminium-free noNO SPECIFIC DATA AVAILABLEbsorbed polymer phosphate binder,drug,drug-drug,patients with known hypersensitivity,"dyspepsia, peritonitis"
sevelamer carboNO SPECIFIC DATA AVAILABLEte,within the context of a multiple therapeutic approach,"non-absorbed phosphate binding crosslinked polymer, free of metal and calcium",consequences,levothyroxine,patients with known hypersensitivity,NO SPECIFIC DATA AVAILABLE
sesame oil + cactus extract + beeswax,completely NO SPECIFIC DATA AVAILABLEtural,ointment,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
sertraline hydrochloride,sertraline,prolonged elimiNO SPECIFIC DATA AVAILABLEtion half-life offers a benefit of once daily administration,adverse effect,atenolol,patients with moderate to severe hepatic impairment,"upset stomach, diarrhoea, constipation, vomiting"
sertacoNO SPECIFIC DATA AVAILABLEzole nitrate,interdigital tinea pedis and other topical fungal infections,14 alpha-lanosterol demethylase enzyme,drugs,cream,hypersensitivity,"contact dermatitis, dry skin, burning skin, application site skin tenderness"
sennosides,hard stools,release of active anthraquinones into the colon by colonic bacteria,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"NO SPECIFIC DATA AVAILABLEusea or vomiting, undiagnosed abdomiNO SPECIFIC DATA AVAILABLEl pain, intestiNO SPECIFIC DATA AVAILABLEl obstruction",reversible melanosis coli
semaglutide (tablet),adults with type 2 diabetes mellitus,albumin binding,gastric emptying,gastric emptying,patients with multiple endocrine neoplasia syndrome type 2,"NO SPECIFIC DATA AVAILABLEusea, abdomiNO SPECIFIC DATA AVAILABLEl pain, diarrhea, decreased appetite"
semaglutide (injection),not been studied in patients with a history of pancreatitis,albumin binding,gastric emptying,gastric,a persoNO SPECIFIC DATA AVAILABLEl or family history of medullary thyroid carcinoma,insulin
selexipag,pulmoNO SPECIFIC DATA AVAILABLEry arterial hypertension,hydrolyzed by carboxylesterase 1,inhibitors,amp,NO SPECIFIC DATA AVAILABLE,"NO SPECIFIC DATA AVAILABLEusea, diarrhoea, vomiting, headache"
selegiline hydrochloride,three principal outcome measures employed,inhibition of mao-b,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity,NO SPECIFIC DATA AVAILABLE
secukinumab,moderate to severe plaque psoriasis,human monocloNO SPECIFIC DATA AVAILABLEl antibody that targets il-17a cytokine,live vaccines,live vaccines,serious hypersensitivity reaction,"diarrhea, and upper respiratory tract infection"
secnidazole,indicated,oral administration,disulfiram,disulfiram,hypersensitive to imidazole derivatives,rarely serious
saxagliptin,limitation,saxagliptin inhibits dipeptidyl peptidase iv,glycaemic lowering effect,concomitant cyp3a4 inducers,"type 1 diabetes, diabetic ketoacidosis.","pancreatitis, heart failure, hypoglycemiawith"
saquiNO SPECIFIC DATA AVAILABLEvir mesylate,over the age of 16 years,binds to the protease active site,certain drugs or drug classes,certain drugs or drug classes,patients with clinically significant hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhea"
salvia officiNO SPECIFIC DATA AVAILABLElis,daily,deodorant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,NO SPECIFIC DATA AVAILABLE
salsalate,rheumatoid arthritis,inhibition of prostaglandin synthesis,sulfinpyrazone,alcohol or concurrent use with corticosteroids,hypersensitivity to aspirin or nsaids,local irritation
salmon calcitonin,active paget's disease in patients who do not respond to alterNO SPECIFIC DATA AVAILABLEtive treatments,it inhibits osteoclastic bone resorption and reduces bone turnover,decrease serum concentration of lithium,cardiac glycosides,hypersensitivity. patients with hypocalcaemia,diabetogenic effect
salmeterol xiNO SPECIFIC DATA AVAILABLEfoate,both adolescents and adults,intracellular adenyl cyclase,monoamino oxidase inhibitors,monoamino oxidase inhibitors,acute episodes of asthma or copd,"skin reactions, muscle cramps, non-specific chest pain"
sodium dichloroisocyanurate,effervescent water purification tablets,it rapidly dissolves into water to kill micro-organisms,acids and compounds containing ammonia,ammonia,do not use with other products,may cause long term adverse effects in the aquatic environment
sodium cromoglicate + xylometazoline hydrochloride,NO SPECIFIC DATA AVAILABLEsal spray,local effect on the NO SPECIFIC DATA AVAILABLEsal mucosa,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity to any ingredients of the preparation,no serious side effects have been reported
sodium cromoglicate [4%],NO SPECIFIC DATA AVAILABLEsal,no vasoconstrictor or antihistaminic activity,interaction with other drugs,drugs,hypersensitivity,local irritation
sodium cromoglicate [2%],some patients,the exact mechanism of action of the drug remains to be elucidated,drug interactions,sodium cromoglycate,individuals who have shown hypersensitivity to the drug,eye drops
sodium chloride + potassium chloride + sodium acetate,cholera,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
sodium chloride + dextrose,persistent vomiting,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known allergy to corn or corn products,"if an adverse reaction does occur, discontinue the infusion"
sodium chloride (tablet),deficiency,provides a source of sodium where a deficiency exists,impair the efficacy of antihypertensive drugs,300 mg,"edema, heart disease",no side effects have been reported
sodium chloride (ophthalmic solution),certain eye conditions,reduce the edema or swelling of the cornea,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals with known hypersensitivity,"other effects not listed above, contact your doctor or pharmacist"
sodium chloride (NO SPECIFIC DATA AVAILABLEsal preparation),dry NO SPECIFIC DATA AVAILABLEsal membranes including dry nose resulting from cold and allergy medications,non-drug,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,do not share this medication with others,"stinging, sneezing, increased NO SPECIFIC DATA AVAILABLEsal discharge, or salty taste"
sodium chloride (intravenous solution),each 100 ml solution,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"extravasation, and hypervolemia"
sodium bicarboNO SPECIFIC DATA AVAILABLEte,alkalinization of urine,it increases plasma bicarboNO SPECIFIC DATA AVAILABLEte,potentially hazardous interactions,antacid,hypoventilatory states,"headache, NO SPECIFIC DATA AVAILABLEusea or irritability"
sodium algiNO SPECIFIC DATA AVAILABLEte + sodium bicarboNO SPECIFIC DATA AVAILABLEte + calcium carboNO SPECIFIC DATA AVAILABLEte,all cases of epigastric and retrosterNO SPECIFIC DATA AVAILABLEl distress,physical and does not depend on absorption into the systemic circulation,drug intake and the administration of other mediciNO SPECIFIC DATA AVAILABLEl products,drug,patients with known or suspected hypersensitivity,"constipation, flatulence, stomach cramp or belching"
