,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
1528,sparfloxacin,prophylactic use in different urological and ophthalmic operations,inhibits the supercoiling activity of dna gyrase,"salts, oxides and hydroxides of magnesium, aluminium and calcium","salts, oxides and hydroxides of magnesium, aluminium and calcium",individuals with a history of hypersensifivity and in achilles tend,"diarrhea, nausea, headache"
1529,sotalol hydrochloride,after cardiac surgery,non-cardioselective beta-blocker,clonidine,clonidine,patients suffering fromdiabetic keto-acidosis or metabolic acidosis,class i and class ii (cardiac action potential duration prolongation) effects
1530,sorafenib tosylate,hepatocellular carcinoma,kinase inhibitor,inducers of isoenzyme cyp3a4,inducers of isoenzyme cyp3a4,patients with known severe hypersensitivity,pain and peripheral neuropathy
1531,somatropin,reduced dose level recommended for ghd adults,pharmacodynamic effects,cytochrome p450-metabolized drugs,oral estrogen,severe non-proliferative diabetic retinopathy,"headaches, muscle pain, joint stiffness"
1532,tedizolid phosphate,only,inhibition of protein synthesis,coadministration,coadministration,none,"nausea, headache, diarrhea, vomiting, and dizziness"
1533,tea tree oil + geothermal water + vitamin e,gel,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindicated,NO SPECIFIC DATA AVAILABLE>
1534,tea tree oil + geothermal water (hair & body),shampoo,geothermal water : it is natural hot water and has skin healing benefits.,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,oily and dry hair
1535,tea tree oil + geothermal water (eye),-,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
1536,tea tree oil + echinacea + geothermal water,fungus from oral cavity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,hypersensitivity,NO SPECIFIC DATA AVAILABLE
1537,tazarotene,plaque psoriasis,rapid deesterification,concomitant dermatologic medications and cosmetics,flame,"if this drug is used during pregnancy, or if the patient becomes pregnant","pruritus, erythema and burning"
1538,tapentadol hydrochloride,moderate to severe acute pain in patients 18 years of age or older,dual mechanism of action,decreased efficacy with strong enzyme inducers,phenobarbital,patients with impaired pulmonary function,"urticaria, blood pressure decreased"
1539,tamsulosin hydrochloride + dutasteride,amp,complementary mechanisms of action,combination with other alpha-1 adrenergic blockers,cimetidine,women and children and adolescents,combination therapy
1540,tamsulosin hydrochloride,functional symptoms of benign prostatic hyperplasia,extremely bound to human plasma protein,concurrent administration of other alfa1-adrenoceptor antagonists,"atenolol, enalapril or nifedipine",patients with hypersensitivity to it,"dizziness, abnormal ejaculation and"
1541,tamoxifen citrate,breast cancer,oestrogen antagonist and oestrogen agonist,risk of thromboembolic events,coumarin,patients who have experienced hypersensitivity,changes in liver enzyme levels
1542,tafluprost,patients with open-angle glaucoma or ocular hypertension,selective fp prostanoid receptor agonist,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients who are hypersensitive to any component of this product,eye irritation and blurred vision
1543,tadalafil,tadalafil is indicated in- erectile dysfunction,selective phosphodiesterase type 5 (pde5) inhibitor,hiv protease inhibitors,grapefruit juice,hypersensitivity reactions,"nasal pharyngitis, nasal congestion"
1544,tacrolimus (topical),moderate to severe atopic dermatitis,"binding to an intracellular protein, fkbp-12",cyp3a4 inhibitors,ointment,patients with a history of hypersensitivity to tacrolimus,very few and rare type of side-effects
1545,tacrolimus (oral),kidney transplant patients,not known,adverse reactions,cyp3a inhibitors,patients with a hypersensitivity to hco-60,<NO SPECIFIC DATA AVAILABLE
1546,suxamethonium chloride,anesthesia,imitating the action of acetylcholine,neuromuscular blocking effects,psychiatric drugs,new-born infants,"rash, excessive salivation"
1547,suvorexant,insomnia,antagonism of orexin receptors,alcohol concentrations,alcohol,patients with narcolepsy,sleep-walking
1548,super antioxidant [vitamins & minerals],prevent certain types of cancer,manganese,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity to any of the ingredients,vitamin a are reversible
1549,sunitinib,advanced renal cell carcinoma,inhibits cellular signaling by targeting multiple receptor tyrosine kinases,decreased plasma cone with strong cyp3a4 inducers,grapefruit juice,"hypersensitivity, renal impairment",neutropenia
1550,sumatriptan,if a clear diagnosis of migraine headache has been established.,"a metering, atomizing spray pump",ergot-containing drugs,foods,angioedema and anaphylaxis,common side effects : unusual or unpleasant taste in the mouth;
1551,sulphonated surfactant,acne prone and oily skin conditions,displacement of air,drug,drug,hypersensitivity,"mild irritation, skin sensitization"
1552,testosterone undecanoate,if the body is unable to produce enough on its own,exogenous sources,food,food,if you are hypersensitive,troublesome or continues.
1553,testosterone decanoate,certain types of infertility due to spermatogenic disorders,normalization of gonadotropin levels,adjustment of dose or intervals,testosterone,prostatic carcinoma or breast carcinoma,sodium retention
1554,terlipressin acetate,short term management of bleeding oesophageal varices,<NO SPECIFIC DATA AVAILABLE,medications that can prolong the qt interval,medications that can prolong the qt interval,pregnancy,"paleness, increased blood pressure, abdominal pain, nausea"
1555,teriparatide,treatment of postmenopausal women with osteoporosis,binding to specific high-affinity cell-surface receptors,increase serum calcium,digoxin hydrochlorothiazide,patients with hypersensitivity,"arthralgia, pain, and nausea"
1556,terfenadine,"allergic rhinitis, hay fever, and allergic skin disorders",reversible binding of terfenadine to h1-receptors,non-nucleoside reverse transcriptase inhibitors,drugs,porphyria,erythema multiforme and galactorrhoea.
1557,terconazole,only for vulvovaginitis caused by the genus candida,antibacterial activity in vitro but not against usual vag flora,potential pharmacokinetic interaction,drugs,patients known to be hypersensitive,flu
1558,terbutaline sulfate,12 years of age and older,at least in part,patients receiving other sympathomimetics,patients receiving other sympathomimetics,patients with known hypersensitivity to terbutaline,"tremor, headache, tonic cramp and palpitations"
1559,terbinafine hydrochloride,tinea capitis,depending on the concentration of the drug and the fungal species test in vitro,a reduction in dose of the 2d6-metabolized drug,2d6-metabolized drug,individuals with hypersensitive to terbinafine,"liver failure, some leading to death or liver transplant"
1560,terazosin hydrochloride,single therapy,induction of apoptosis of prostate cells,"interaction with analgesics/anti-inflammatory, cardiac glycosides",drugs,patients known to be hypersensitive,"dizziness, lack of energy, peripheral oedema;"
1561,tenoxicam,symptomatic treatment,"anti-inflammatory, analgesic and antipyretic properties",k-sparing diuretics,methotrexate,patients,mild and transient
1562,tenofovir disoproxil fumarate,chronic hepatitis b virus infection in adults hiv infected adults,phosphorylation to the active diphosphate form,renally eliminated or are known to affect renal function,oral contraceptives,patients with known hypersensitivity,"nausea, vomiting, diarrhea and flatulence"
1563,tenofovir alafenamide,adults with compensated liver disease,hydrolysis,drug drug interactions,drugs,none,"headache, stomach pain, tiredness, cough, nausea, back pain"
1564,tenecteplase,reduction of mortality associated with acute myocardial infarction,binds to fibrin and converts plasminogen to plasmin,bleeding,heparin and aspirin,patients with acute myocardial infarction,assent-2
1565,temozolomide,newly diagnosed glioblastoma multiforme,inactive prodrug,valproic acid,valproic acid,pregnancy,"rarely, myelodysplastic syndrome and secondary malignancies"
1566,temazepam,for patients with short-term insomnia,benzodiazepines,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,women who are or may become pregnant,drowsiness headache tiredness nervousness dizziness nausea
1567,telmisartan + hydrochlorothiazide,alone or with other antihypertensive agents,independent of the pathways for angiotensin ii synthesis,interfere with certain laboratory tests,angiotensin ii receptor blockers,patients with known hypersensitivity,allergy
1568,telmisartan,indicated in- hypertension : treatment of essential hypertension in adults,independent of the pathways for angiotensin ii synthesis,diabetes,aliskiren,known hypersensitivity,cardiovascular risk reduction
1569,telbivudine,not been evaluated in black/african american or hispanic patients,it undergoes phosphorylation via interaction with cellular kinases,risk of myopathy,hmg-coa reductase inhibitors,increased risk ofperipheral neuropathy,gi effects
1570,teicoplanin,serious infections due to staphylococci or streptococci,in vitro bactericidal activity,concurrent nephrotoxic or ototoxic drugs,concurrent nephrotoxic or ototoxic drugs,patients who have exhibitedprevioushypersensitivity,gastrointestinal
1571,tegaserod,irritable bowel syndrome with constipation,serotonin type-4 (5ht4) receptor partial agonist,oral contraceptives,"oral contraceptives, and warfarin",patients with severe renal or hepatic impairment,"abdominal pain, diarrhea, nausea, flatulence, headache"
1572,tioconazole,only for candidal vulvovaginitis,tioconazole inhibits ergosterol synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,sensitive to imidazoleantifungalagents,mild irritation
1573,tinidazole,only,antimicrobial actions,"alcohol, disulfiram","alcohol, disulfiram",patients with organic neurological disorders,"headache, tiredness, furry tongue and dark urine"
1574,timolol maleate,patients with ocular hypertension or open-angle glaucoma,reduction of aqueous humour formation,pupil size,epinephrine,patients with bronchial asthma,"nausea, constipation, hypoglycaemia"
1575,tigecycline,infections caused by susceptible strains of the designated microorganisms,inhibits protein translation in bacteria,drug,warfarin,patients who have known hypersensitivity to tigecycline,injection site inflammation &amp;
1576,tiemonium methylsulphate,pain related to functional disorders of the digestive tract and biliary system,competitive antagonist,possible drug interaction,tablet,urethroprostatic disorder involving a risk of urine retension,hypotension &amp; tachycardia
1577,ticlopidine hydrochloride,failed aspirin therapy,inhibition of bothplatelet aggregation and release ofplateletgranule constituents,avoid concurrent use with clopidogrel,clopidogrel,hypersensitivity to the drug,"diarrhoea, nausea, dyspepsia"
1578,ticagrelor,adult patients with acute coronary syndromes,selective adenosine diphosphate (adp) receptor antagonist,simvastatin and lovastatin doses greater than 40 mg,aspirin,hypersensitivity,"dyspnea,bleeding,headache,cough,dizziness,nausea"
1579,tibolone,cannot take other medicines used to prevent osteoporosis,"estrogenic, androgenic and progestagenic properties",decrease its therapeutic effect,decrease its therapeutic effect,pregnancy and lactation,headache and migraine
1580,thymus vulgaris extracts,women having periods expectant mothers new mothers,selective antibacterial properties,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,NO SPECIFIC DATA AVAILABLE
1581,thiotepa,in haematological diseases in adult and paediatric patients,radiomimetic action,decreased concentrations of the active 4 ohcp,medicinal products,pregnancy and lactation,NO SPECIFIC DATA AVAILABLE
1582,thioridazine,only,strong -adrenergic blocking effect,cns depressants,cns depressants,drugs,rarely
