generic_name,contraindications_description,contraindication_result
sodium picosulfate,"ileus or intestinal obstruction, severe painful and/or feverish acute abdominal conditions (e.g. appendicitis) potentially associated with nausea and vomiting, acute inflammatory bowel diseases, severe dehydration, known hypersensitivity to sodium picosulfate or any other component of the product.",known hypersensitivity to sodium picosulfate
sodium nitroprusside dihydrate,"sodium nitroprusside should not be used in the treatment of compensatory hypertension, where the primary hemodynamic lesion isaorticcoarctationor arteriovenous shunting. sodium nitroprusside should not be used to produce hypotension during surgery in patients with known inadequate cerebral circulation, or in moribund patients (a.s.a. class 5e) coming to emergency surgery. patients with congenital (leber's) optic atrophy or with tobacco amblyopia have unusually high cyanide/thiocyanate ratios. these rare conditions are probably associated with defective or absent rhodanase, and sodium nitroprusside should be avoided in these patients. sodium nitroprusside should not be used for the treatment of acutecongestive heart failureassociated with reduced peripheral vascular resistance such as high-outputheart failurethat may be seen in endotoxic sepsis.",not be used for the treatment of acutecongestive heart failureassociated
sodium hypochlorite,no known contraindications,no known contraindications
sodium hyaluronate + carboxymethylcellulose sodium,this eye drops is contraindicated in patients who are hypersensitive to any component of this preparation.,hypersensitive
sodium hyaluronate (ophthalmic),known hypersensitivity to any of the components.,known hypersensitivity to any of the components
sodium hyaluronate (injection),the drug is contraindicated in patients with known hypersensitivity to hyaluronate preparations. intra-articular injections are contraindicated in cases of past and present infections or skin diseases in the area of the injection site.,past and present infections or skin diseases
sodium fusidate (topical),"known hypersensitivity to sodium fusidate, severe hepatic failure.",known hypersensitivity to sodium fusidate
sodium fusidate (oral),hypersensitivity,hypersensitivity
sodium fluoride (mouthwash),not to use 1 mg tablets in children less then 3 yr of age or when drinking water fluoride content is &gt;= 0.3 ppm.,not to use 1 mg tablets in children less then 3 yr of age
sodium dihydrogen phosphate + disodium hydrogen phosphate,"chf, renal failure or clinically significant impaired renal function, congenital or acquired megacolon, bowel/gi obstructions, ascites, perforation of ileus, active inflammatory bowel disease.",.
sulphamethoxazole + trimethoprim,"hypersensitivity to trimethoprim or sulphonamides. patients with documented megaloblastic anaemia due to folate deficiency. patients showing marked liver parenchymal damage, blood dyscrasia, severe renal insufficiency, glucose 6-phosphate dehydrogenase deficiency.",hypersensitivity to trimethoprim or sulphonamides
sulphadoxine + pyrimethamine,"prophylactic (repeated) use of pyrimethamine + sulphadoxineis contraindicated in patients with severe renal insufficiency, marked liver parenchymal damage or blood dyscrasias. treatment must be immediately discontinued upon the appearance of any mucocutaneous signs or symptoms such as pruritus, erythema, rash, orogenital lesions or pharyngitis.",marked liver parenchymal damage or blood dyscrasias
sulindac,"patients known to be allergic to sulindac and those in whom acute asthmatic attacks, urticaria or rhinitis have been precipitated by aspirin or other non-steroidal anti-inflammatory agents. sulindac is also contraindicated in patients with a history of active gastro-intestinal bleeding or peptic ulceration. it should not be given to children, pregnant or lactating women.",active gastro-intestinal bleeding or peptic ulceration
sulfinpyrazone,patients with an active peptic or symptoms of gastro-intestinal inflammation or ulceration should not receive the drug. the drug is contraindicated in patients with a history or the presence of hypersensitivity to phenylbutazone or other pyrazoles.,patients with a history or the presence of hypersensitivity
sulfasalazine,"hypersensitivity to sulfasalazine, its metabolites, sulfonamides or salicylates, patients with intestinal or urinary obstruction and porphyria.",patients with intestinal or urinary obstruction and porphyria
sulfacetamide sodium,sulfacetamide sodium ophthalmic solution is contraindicated in individuals who have a hypersensitivity to sulfonamides or to any ingredient of the preparation.,sulfonamides or to any ingredient of the preparation
sulconazole nitrate,sulconazole nitrate is contraindicated in patients who have a history of hypersensitivity to any of the ingredients.,patients who have a history of hypersensitivity to any of the ingredients
sucralose + acesulfame potassium,no data available,no data available
sucralose,no known contraindication.,no known contraindication
sucralfate,sucralfate tablet and suspension are contraindicated in patients with hypersensitivity to sucralfate.,hypersensitivity to sucralfate
strontium ranelate,"strontium ranelate is not intended for use in children and adolescents. during treatment, if you experience an allergic reaction (such as swelling of the face, tongue or throat, difficulty in breathing or swallowing, skin rash), you must stop taking strontium ranelate and seek medical advice immediately. if you have stopped treatment due to hypersensitivity reactions you should not re-start therapy with strontium ranelate",if you have stopped treatment due to hypersensitivity reactions
streptomycin,hypersensitivity to streptomycin and other aminoglycosides.,hypersensitivity to streptomycin
streptokinase,"as thrombolytic therapy increases the risk of bleeding, streptokinase, administered either systemically or locally, is contraindicated in the following situations: existing or recent haemorrhage and haemorrhagic diathesis (with the exception of consumption coagulopathy) potential for internal bleeding (e.g., peptic ulcer, ulcerative colitis, diverticulitis or visceral tumours) all forms of reduced blood coagulability, in particular spontaneous fibrinolysis and extensive clotting disorders. recent (within 2 months) cerebrovascular accident, recent (within 10 days) facial or head trauma, intracranial or intraspinal surgery, known intracranial neoplasm and all known neoplasms with risk of haemorrhage invasive operations, e.g., recent organ biopsy, invasive diagnostic procedure, recent implantation of a vessel prosthesis, long-term traumatic closed-chest massage or other recent surgery (until the 6th to 10th post operative day, depending on the severity of surgical intervention) arteriovenous malformation or aneurysm: haemorrhagic diathesis including thrombocytopenia or pronounced hepatic or renal dysfunction severe uncontrolled hypertension (systolic bp &gt; 200 mm hg, diastolic bp &gt; 100 mm hg), or hypertensive retinal changes grades iii/iv), hypertonic fundus severe liver or kidney damage: simultaneous treatment with oral anticoagulants (international normalized ratio (inr) &gt;1.3) endocarditis or pericarditis (immediately after streptococcal infections which have produced a high antistreptokinase titre (acute rheumatic fever, acute glomerulo-nephritis, etc.). more than 5 days and less than 12 months since previous streptokinase therapy.",potential for internal bleeding
